swanlab: Tracking run with swanlab version 0.5.5
swanlab: Run data will be saved locally in /home/moe_test/swanlog/run-20250409_214613-84cd768b
swanlab: 🌟 Run `swanlab watch /home/moe_test/swanlog` to view SwanLab Experiment Dashboard locally

--- Epoch 1/50 ---
Batch 1475/2797, Loss: 0.4713, Train Acc: 82.85%
Batch 1480/2797, Loss: 0.4708, Train Acc: 82.87%
Batch 1485/2797, Loss: 0.4707, Train Acc: 82.88%
Batch 1490/2797, Loss: 0.4707, Train Acc: 82.87%
Batch 1495/2797, Loss: 0.4704, Train Acc: 82.88%
Batch 1500/2797, Loss: 0.4702, Train Acc: 82.90%
Batch 1505/2797, Loss: 0.4699, Train Acc: 82.91%
Batch 1510/2797, Loss: 0.4697, Train Acc: 82.91%
Batch 1515/2797, Loss: 0.4693, Train Acc: 82.92%
Batch 1520/2797, Loss: 0.4692, Train Acc: 82.92%
Batch 1525/2797, Loss: 0.4691, Train Acc: 82.93%
Batch 1530/2797, Loss: 0.4689, Train Acc: 82.93%
Batch 1535/2797, Loss: 0.4686, Train Acc: 82.94%
Batch 1540/2797, Loss: 0.4685, Train Acc: 82.94%
Batch 1545/2797, Loss: 0.4682, Train Acc: 82.95%
Batch 1550/2797, Loss: 0.4679, Train Acc: 82.96%
Batch 1555/2797, Loss: 0.4679, Train Acc: 82.96%
Batch 1560/2797, Loss: 0.4675, Train Acc: 82.97%
Batch 1565/2797, Loss: 0.4672, Train Acc: 82.99%
Batch 1570/2797, Loss: 0.4669, Train Acc: 83.00%
Batch 1575/2797, Loss: 0.4666, Train Acc: 83.01%
Batch 1580/2797, Loss: 0.4665, Train Acc: 83.01%
Batch 1585/2797, Loss: 0.4662, Train Acc: 83.02%
Batch 1590/2797, Loss: 0.4659, Train Acc: 83.03%
Batch 1595/2797, Loss: 0.4656, Train Acc: 83.05%
Batch 1600/2797, Loss: 0.4654, Train Acc: 83.05%
Batch 1605/2797, Loss: 0.4651, Train Acc: 83.06%
Batch 1610/2797, Loss: 0.4651, Train Acc: 83.06%
Batch 1615/2797, Loss: 0.4647, Train Acc: 83.07%
Batch 1620/2797, Loss: 0.4644, Train Acc: 83.07%
Batch 1625/2797, Loss: 0.4643, Train Acc: 83.08%
Batch 1630/2797, Loss: 0.4641, Train Acc: 83.08%
Batch 1635/2797, Loss: 0.4640, Train Acc: 83.08%
Batch 1640/2797, Loss: 0.4636, Train Acc: 83.09%
Batch 1645/2797, Loss: 0.4634, Train Acc: 83.10%
Batch 1650/2797, Loss: 0.4632, Train Acc: 83.10%
Batch 1655/2797, Loss: 0.4632, Train Acc: 83.09%
Batch 1660/2797, Loss: 0.4629, Train Acc: 83.10%
Batch 1665/2797, Loss: 0.4626, Train Acc: 83.12%
Batch 1670/2797, Loss: 0.4624, Train Acc: 83.13%
Batch 1675/2797, Loss: 0.4622, Train Acc: 83.13%
Batch 1680/2797, Loss: 0.4622, Train Acc: 83.13%
Batch 1685/2797, Loss: 0.4620, Train Acc: 83.13%
Batch 1690/2797, Loss: 0.4618, Train Acc: 83.14%
Batch 1695/2797, Loss: 0.4616, Train Acc: 83.15%
Batch 1700/2797, Loss: 0.4613, Train Acc: 83.16%
Batch 1705/2797, Loss: 0.4610, Train Acc: 83.17%
Batch 1710/2797, Loss: 0.4608, Train Acc: 83.18%
Batch 1715/2797, Loss: 0.4606, Train Acc: 83.18%
Batch 1720/2797, Loss: 0.4604, Train Acc: 83.19%
Batch 1725/2797, Loss: 0.4602, Train Acc: 83.19%
Batch 1730/2797, Loss: 0.4599, Train Acc: 83.20%
Batch 1735/2797, Loss: 0.4597, Train Acc: 83.21%
Batch 1740/2797, Loss: 0.4595, Train Acc: 83.21%
Batch 1745/2797, Loss: 0.4591, Train Acc: 83.23%
Batch 1750/2797, Loss: 0.4589, Train Acc: 83.23%
Batch 1755/2797, Loss: 0.4587, Train Acc: 83.24%
Batch 1760/2797, Loss: 0.4586, Train Acc: 83.24%
Batch 1765/2797, Loss: 0.4584, Train Acc: 83.25%
