Validation Batch 550/700, Validation Accuracy: 88.46%
Validation Batch 555/700, Validation Accuracy: 88.46%
Validation Batch 560/700, Validation Accuracy: 88.46%
Validation Batch 565/700, Validation Accuracy: 88.45%
Validation Batch 570/700, Validation Accuracy: 88.46%
Validation Batch 575/700, Validation Accuracy: 88.47%
Validation Batch 580/700, Validation Accuracy: 88.47%
Validation Batch 585/700, Validation Accuracy: 88.48%
Validation Batch 590/700, Validation Accuracy: 88.47%
Validation Batch 595/700, Validation Accuracy: 88.47%
Validation Batch 600/700, Validation Accuracy: 88.47%
Validation Batch 605/700, Validation Accuracy: 88.48%
Validation Batch 610/700, Validation Accuracy: 88.48%
Validation Batch 615/700, Validation Accuracy: 88.46%
Validation Batch 620/700, Validation Accuracy: 88.45%
Validation Batch 625/700, Validation Accuracy: 88.45%
Validation Batch 630/700, Validation Accuracy: 88.44%
Validation Batch 635/700, Validation Accuracy: 88.44%
Validation Batch 640/700, Validation Accuracy: 88.43%
Validation Batch 645/700, Validation Accuracy: 88.44%
Validation Batch 650/700, Validation Accuracy: 88.44%
Validation Batch 655/700, Validation Accuracy: 88.45%
Validation Batch 660/700, Validation Accuracy: 88.46%
Validation Batch 665/700, Validation Accuracy: 88.46%
Validation Batch 670/700, Validation Accuracy: 88.46%
Validation Batch 675/700, Validation Accuracy: 88.47%
Validation Batch 680/700, Validation Accuracy: 88.46%
Validation Batch 685/700, Validation Accuracy: 88.45%
Validation Batch 690/700, Validation Accuracy: 88.45%
Validation Batch 695/700, Validation Accuracy: 88.45%
Validation Batch 700/700, Validation Accuracy: 88.45%
Validation Accuracy for Epoch 7: 88.45%
New Best Model Saved! Validation Accuracy: 88.45%

--- Epoch 8/50 ---
Batch 5/2797, Loss: 0.2519, Train Acc: 90.47%
Batch 10/2797, Loss: 0.2337, Train Acc: 91.56%
Batch 15/2797, Loss: 0.2418, Train Acc: 91.72%
Batch 20/2797, Loss: 0.2368, Train Acc: 91.72%
Batch 25/2797, Loss: 0.2419, Train Acc: 91.62%
Batch 30/2797, Loss: 0.2422, Train Acc: 91.38%
Batch 35/2797, Loss: 0.2541, Train Acc: 90.89%
Batch 40/2797, Loss: 0.2510, Train Acc: 90.92%
Batch 45/2797, Loss: 0.2534, Train Acc: 90.75%
Batch 50/2797, Loss: 0.2482, Train Acc: 91.03%
Batch 55/2797, Loss: 0.2500, Train Acc: 90.88%
Batch 60/2797, Loss: 0.2507, Train Acc: 90.83%
Batch 65/2797, Loss: 0.2478, Train Acc: 90.93%
Batch 70/2797, Loss: 0.2465, Train Acc: 90.94%
Batch 75/2797, Loss: 0.2465, Train Acc: 90.90%
Batch 80/2797, Loss: 0.2444, Train Acc: 90.99%
